id,title,author,text,label
183,Pro-Government Forces Advance in Syria Amid Talk of U.S.-Russia Cooperation - The New York Times,Anne Barnard and Karam Shoumali,"BEIRUT, Lebanon     In Moscow on Friday, Secretary of State John Kerry and Foreign Minister Sergey V. Lavrov of Russia laid bunches of flowers in memory of the victims of the truck attack in Nice, France, then spent hours debating proposals for new cooperation in Syria. But the discussions, aimed at fighting terrorism and restarting political talks to end the war, took place against a backdrop of new carnage in Syria, where a very different dynamic is playing out.   forces are tightening a new siege around the countrys largest city, Aleppo, amid intense bombing. Farther south, they are on the verge of overrunning the   Damascus suburb of Daraya, one of the first to rebel against the government of President Bashar   five years ago. They have stepped up airstrikes, hitting marketplaces and tent camps, as civilians trapped behind blockades continue to die for lack of food and medical care. Both supporters and opponents of Mr. Assad say he and his allies are seeking to press their military campaign as far as...",0
184,WHO cancer agency under fire for withholding carcinogenic glyphosate documents,RT,"WHO cancer agency under fire for withholding carcinogenic glyphosate documents Published time: 27 Oct, 2016 01:32 Get short URL © Philippe Huguen / AFP The International Agency for Research on Cancer (IARC), facing criticism over its classification of carcinogens, has reportedly been advising its scientific experts not to publish internal research data on its 2015 report on probably carcinogenic glyphosate. 
The IARC urged its scientists not to publish research documents on its 2015 weedkiller glyphosate review, according to Reuters. The agency told Reuters on Tuesday that it tried to protect the study from external interference, as well as protect its intellectual rights, since it was the sole owner of such materials. 
The scientists had been asked earlier to release all the documentation on the 2015 report under US freedom of information laws. 
The groundbreaking review, published in March 2015 by the IARC  a semi-autonomous agency of the World Health Organization (WHO)  labeled the glyphosate ...",1
185,Work. Walk 5 Minutes. Work. - The New York Times,Gretchen Reynolds,"Stuck at your work desk? Standing up and walking around for five minutes every hour during the workday could lift your mood, combat lethargy without reducing focus and attention, and even dull hunger pangs, according to an instructive new study. The study, which also found that frequent, brief walking breaks were more effective at improving   than a single, longer walk before work, could provide the basis for a simple, realistic New Years exercise resolution for those of us bound to our desks all day. There is growing evidence, of course, that long bouts of uninterrupted sitting can have undesirable physical and emotional consequences. Studies have shown that sitting motionless reduces blood flow to the legs, increasing the risk for atherosclerosis, the buildup of plaques in the arteries. People who sit for more than eight or nine hours daily, which for many of us describes a typical workday, also are at heightened risk for diabetes, depression and obesity compared with people who move more often. In resp...",0
186,Militants Used Toxic Gas Near Aleppo Airport  Report,nan,"#FROMTHEFRONT #MAPS 13.11.2016 - 1,004 views 3.5 ( 2 votes) Militants Used Toxic Gas Near Aleppo Airport  Report 3.5 out of 5 based on 2 ratings. 2 user reviews. Militants Used Toxic Gas Near Aleppo Airport  Report Donate Click to see the full-size map. Oiriginal map source: @v4st0/Twitter; Additional notes by SF 
Militants have launched a toxic gas attack near the international airport in the Syrian city of Aleppo , the Lebanon-based TV channel, Al Mayadeen TV, reported Sunday. 
The report says that miliants used projectiles with poisonous gas during the artillery shelling of the Syrian armys positions at the Aleppo international airport. At least 28 Syrian servicemen were reported injured. 
Earlier this week, the Russian Defense Ministry announced that Russian military experts had found evidence that militants had used chemical weapons (chlorine and white phosphorus) in Aleppo city. The ministry send samples of soil and shell fragments found in Aleppo to the Organization for the Prohibition of Chemica...",1
187,Steve Harvey Talks Housing With President-Elect Trump - The New York Times,Sopan Deb,"Steve Harvey, the comedian and television host, became the latest celebrity to ascend Trump Tower on Friday to discuss federal policy with   Donald Trump, in this case housing issues. But before Mr. Harvey was off the premises, he unexpectedly revived a recent controversy over his comments about Asian men. After the meeting, Mr. Trump and Mr. Harvey briefly appeared together in the lobby. When Mr. Trump left, Mr. Harvey said they had discussed ways he could work with Ben Carson, Mr. Trumps nominee to run the Department of Housing and Urban Development. Mr. Harvey has spoken openly in the past of being homeless as an adult while struggling to start his comedy career, though he gave no reason on Friday for why he was consulted on housing affairs. Mr. Harvey said he was invited a week ago by both transition teams, referring to representatives of President Obama and Mr. Trump, and emphasized that the visit was informal. Well, you know its not my jump into politics, Mr. Harvey said. I aint gonna pass a ...",0
188,Coalition: U.S. Troops Fighting in Mosul Offensive Come Under Fire,Edwin Mora,"U. S service members participating in the ongoing offensive to recapture the Iraqi city of Mosul from the Islamic State have come under fire, Col. John Dorrian, a spokesman for the U. S.  coalition, told Pentagon reporters. [They have come under fire at different times, our forces that have been in Mosul and other places around Iraq, revealed Col. Dorrian.  What I would tell you, though, is that they are directed to try and be positioned where that is a rarity and unlikely to occur, he added. Without providing a specific figure, an unnamed U. S. defense official told some news outlets that American forces taking part in the Mosul operation had suffered injuries. U. S. troops have been providing advice and assistance to an alliance of tens of thousands of Iraqi security forces, Kurdish Peshmerga troops, and   Shiite militiamen fighting to push the Islamic State, also known as ISIS and ISIL, out of Mosul. The day after the Mosul offensive began in   Peter Cook,   secretary for the Pentagon, conceded th...",0
189,UK citizens and war heroes get cheap pre-fab houses while Muslim colonizers get taxpayer-funded luxurious council homes,BareNakedIslam,"UK citizens and war heroes get cheap pre-fab houses while Muslim colonizers get taxpayer-funded luxurious council homes UK Ministers have been forced to put forward plans for pre-fabricated homes after 30,000 luxury council houses were handed out to unemployed illegal alien Muslim migrants. Migration Watch said the costs will continue to rocket if a sustainable level of migration is not achieved. UK Daily Mail More than 11,000 households are raking in benefits that are at least the equivalent of a higher rate taxpayers £47,000 salary, it was revealed last month. According to official figures, thousands of Muslim migrant families on benefits are living in luxury homes, with many receiving housing handouts of about £5,000 per month  enough to fund a £1million mortgage. Jonathan Isaby, of the TaxPayers Alliance, said: Many taxpayers struggling to make ends meet will find it incredibly unfair that some people are drawing more in benefits than theyve ever actually earned themselves. UK Express (h/t Rob E...",1
190,"After Vets Fight War, Feds Demand Money Back& But Illegals And Refugees Can Keep Their Money",IWB,"After Vets Fight War, Feds Demand Money Back& But Illegals And Refugees Can Keep Their Money by IWB · October 27, 2016 Tweet 
Thanks you for your service? No. After promising bonuses & education benefits to military in order to get them to re-enlist for the Afghanistan & Iraq Wars, the Pentagon is now demanding the money back from vets who cant afford to pay. This is how Obama treats veterans  just like Hillary treats those who protect her in the Secret Service. Can nayone trust their promises? 
Illegals And Refugees Can Keep Their Money 
Military Soldiers Made To Pay Bonuses Back But Illegals And Refugees Can Keep There Money",1
191,Mr. Trumps Wild Ride - The New York Times,Robert Draper,"Have you seen the latest polls? Im beating Hillary.  Donald Trump was on the phone with a man he had never met, a Republican delegate in Pennsylvania. It was May 2, one day before the Indiana primary election, and the private plane bearing his last name in gigantic letters was taxiing along a runway at Indianapolis International Airport. Trump proceeded to quote the numbers to the man in Pennsylvania: ahead of Clinton by 2 points in that days Rasmussen poll, 3 points behind her in the previous weeks George Washington University poll. These were the only two national polls at the moment that did not show him lagging behind the Democrat by a wide margin in the general election, but Trump was a businessman who preferred to negotiate using numbers that were in his favor. Id love your support, Phil, the candidate said as he squinted at his own handwriting, a scrawl in black marker on a piece of paper. You know, youre the only delegate Ive talked to. But I saw you on television, and you appreciate wha...",0
192,"Here Is How FBI Director Comey BAMBOOZLED The DOJ, CONGRESS, And The CLINTONS All At Once",DSG,"1 comment James Comey just outfoxed the entire corrupt establishment with one game changing technique& Hillary Clintons Campaign called for the immediate release of all of the FBIs new findings. Congress is demanding more information from James Comey and the Bureau by Monday. President Obama and The Department Of Justice say that Comey did not notify them before sending his letter to Congress. The New York Times reported that Obamas Department Of Justice still has not granted approval for the FBI to review the emails that were allegedly found on Anthony Weiners laptop. We do not have a warrant, a senior law enforcement official said. Discussions are under way [between the FBI and the DOJ] as to the best way to move forward. Could this be a brilliant, somewhat sneaky, move by Comey? The question has been raised: A serious journalist, of which there are few today, would wonder if this isnt precisely WHY Comey went public @thegarance @maggieNYT pic.twitter.com/kwFum9LNO7 
 DanRiehl (@DanRiehl) Octob...",1
193,20 Foods That Naturally Unclog Arteries and Prevent Heart Attacks,Twain Yobra,"20 Foods That Naturally Unclog Arteries and Prevent Heart Attacks http://blogs.naturalnews.com/20-foods-naturally-unclog-arteries-prevent-heart-attacks/ 
By Twain Yobra 
Posted Tuesday, November 1, 2016 at 03:53pm EDT 
Arteries play a vital role in the body. They transport nutrients and oxygen throughout the body. And they can cause heart attacks if theyre clogged. Well, you can unclog them naturally by eating foods rich in antioxidants, soluble fiber and healthy fats. 
Here are 20 foods that will unclog your arteries and prevent heart attacks. 
1. Pomegranate: Pomegranate is rich in antioxidants which prevents the arteries from being damaged. Research also shows that pomegranate improves heart health by reducing bad cholesterol. 
2. Spirulina: Spirulina is regulates fat levels in the blood. And its rich in omega 3 fatty acids, which studies show prevents heart disease. 
3. Asparagus: This vegetable is rich in vitamins and minerals that prevent blood clots and lower blood pressure. 
4. Turmeric: Inflamma...",1
194,Death of the Two-State Solution,Consortiumnews.com,"Death of the Two-State Solution November 16, 2016 
Exclusive: For years, anyone calling for a one-state solution to the Israeli-Palestinian conflict  granting equal rights to all inhabitants and thus diluting the Jewish state  was denounced as anti-Semitic. But Israels persistent settlement building has now left no other rational choice, notes Jonathan Marshall. 
By Jonathan Marshall 
Donald Trumps election victory raises many unanswered questions, but it also settles a few, starting with the fate of the Israeli-Palestinian peace process. In the words of Israeli Education Minister and Jewish Home Party leader Naftali Bennett, The era of a Palestinian state is over. 
Lest anyone accuse the Israeli hardliner of wishful thinking, one need only recall candidate Trumps insistence last spring that Israelis really have to keep going with settling the territories that they have occupied since 1967. Two months later, the Republican Party changed its 2012 platform to omit support for a Palestinian...",1
195,"Watch: Police viciously attack, arrest peaceful protesters at DAPL including children and the elderly",nan,"Wed, 26 Oct 2016 13:29 UTC © The Free Thought Project Dramatic video from Intercept reporter, Jihan Hafiz , was released this week from the Dakota Access Pipeline protests showing a full on assault by militarized police on peaceful people. The video is from Saturday but took several days to be released as cops confiscated the camera used to film it. The video was taken as water protectors and reporters covering the protests marched toward the construction site. However, their peaceful walk was swiftly interrupted by militarized shock troops armed with massive cans of pepper spray, batons, rubber bullets, and assault rifles. According to Hafiz, the march was undertaken in solidarity with several protesters who had chained themselves to bulldozers and pipeline machinery at the construction site. But the marchers never made it to their destination. Instead, they were attacked by police forces who used pepper spray and beat protesters with batons. Dozens of officers, backed by military trucks, police vans, mac...",1
197,Comment on Parents on a Date Were Asleep in Car When Cops Arrived and Killed Them Both by FaceSpace,FaceSpace,"Home / Badge Abuse / Parents on a Date Were Asleep in Car When Cops Arrived and Killed Them Both Parents on a Date Were Asleep in Car When Cops Arrived and Killed Them Both Matt Agorist February 25, 2016 213 Comments 
Inglewood, CA  On Sunday, police responded to a call of a suspicious vehicle parked on Manchester Boulevard around 3:10 am. When police arrived, they engaged in a 45-minute long standoff before opening fire on the man and woman inside the vehicle, killing them both. 
In the news release on Monday, following the shooting, police claimed that the woman in the car had a gun. Scott Collins, a spokesman for the Inglewood Police Department said that the couple refused to obey the officers commands to exit the vehicle. The officers then feared for their safety and opened fire on the car  killing the couple. 
The woman was pronounced dead shortly after the shooting, and the man succumbed to his injuries after paramedics transported him to a local hospital, according to the LA Times. 
The shooting ...",1
198,Could Teaching Men to Nurture Counteract Our Culture of Toxic Masculinity?,nan,"By Ann Deslandes / thevocal.com.au 
The feminist and feminist-adjacent internet had a mild implosion in February in response to an article by Canadian organiser, writer, and college professor Nora Samaran (a pseudonym). Titled The opposite of rape culture is nurturance culture , Samaran proposes that the solution to rape culture and other manifestations of gendered abuse lies in the inverse of violence, which she says is nurturance  that is,a deep capacity to create safety and trust that many men are not permitted to develop in patriarchal culture. Patriarchal masculinity, as Samaran observes, teaches men that healthy attachment needs, such as attunement, comfort and responsiveness, or emotional availability are weak and wrong. As such, men become less able to experience women as whole beings, and are less able to make sense of their own needs. So, as Samaran argues, if men can work together to connect with their capacity to nurture and teach each other the skills and qualities of healthy attachmen...",1
199,Donald Trumps Team Shows Few Signs of Post-Election Moderation - The New York Times,"Eric Lipton, Charlie Savage and Michael S. Schmidt","   Donald J. Trump is picking up the pace with his cabinet and top White House staff choices, and despite the fervent wishes of some Democrats that views expressed during the campaign would be moderated after the election, the new administrations team is maintaining a decidedly conservative bent. Up next, secretary of defense? James N. Mattis, a retired Marine Corps general, will meet the   at Mr. Trumps New Jersey country club on Saturday to discuss the post of defense secretary, according to two people close to the transition team. Conservatives this spring had wooed General Mattis to run for president as an independent as they sought an alternative to Mr. Trump. While he was receptive to the idea, he ultimately decided against running. The thoughtfulness and patriotism     and for that matter, the modesty     Jim showed as he reflected on this decision make me more convinced than ever that he would have made a truly admirable president, and also a good candidate, William Kristol, the editor of the...",0
200,Miami Beach Tries to Tame Its Most Raucous Street (but the Fishbowl Drinks Can Stay) - The New York Times,Lizette Alvarez,"MIAMI BEACH, Fla.     From rooftop bars and rope lines to gridlocked streets and sidewalks, Ocean Drive, the   neon heartbeat of South Beach, can trample the senses on most weekends. Tourists sip Technicolor cocktails from   glasses.   music throbs into the night as people amble along in the glow of   lights. A weed dealer in the shadows peddles Purple Haze for $25 as a   older man chases women with a   Burmese python draped around his neck. Police officers are everywhere, scanning the action. It has just gotten to the point where the place has become a       circus, where public safety is no longer ensured, said Mitch Novick, who owns the Sherbrooke Hotel around the corner on Collins Avenue and has been in the area since 1988, when the cafes here could be counted on one hand. Im witnessing the blighting of my neighborhood, which was once paradise.  After years of complaints from residents and a steady stream of online criticism from tourists, the City of Miami Beach moved recently to try to tame t...",0
201,Doctors Mysteriously Found Dead After Summit For Breakthrough Cure For Cancer,Starkman,"The medical community at large is a gasp as several holistic doctors were found dead after apparently committing suicide over the last year. The fatalities have seemingly occurred after a breakthrough cancer treatment was just announced. 
Via AlternativeNews 

What is This New Treatment? The newly developed cancer treatment involves the human protein GcMAF (Globulin component Macrophage Activating Factor). GcMAF works by activating macrophages that are already present within the human body. These macrophages can fight against and destroy cancerous cells.
GcMAF is produced naturally inside the body however some people cannot make enough levels of this vital human protein to ward off disease and infection. The idea is that by administering this protein to people, the immune system can be strengthened to fight cancer and reducing the need for more intense, invasive procedures such as chemotherapy or radiation therapy. These forms of therapy can often lead to more cancer and deteriorate the human body. What ...",1
202,"Donald Trump, the Unsinkable Candidate - The New York Times",Declan Walsh,"This American presidential election is a dizzying wonder: a torrent of outrages, gaffes and   dramas, where one story blurs into the next, most of it driven by the Republican contender, Donald J. Trump. With such a ferocious pace its easy to lose sight of the details, especially when it comes to Mr. Trump. So heres a quick summary of what voters have learned in recent weeks.   The attorney general of New York has started an investigation into the Donald J. Trump Foundation. At issue is a $25, 000 donation, made three years ago, in support of a Florida official who was weighing possible fraud charges against Mr. Trump. No charges were brought, and the official became a supporter of Mr. Trump.   Reporters have uncovered evidence that Mr. Trump spent $20, 000 of his charitys money on a   tall painting of himself. It was sent to one of his private golf clubs.   There have been new accounts of widespread discrimination against black people at Mr. Trumps New York properties during the 1970s.   Last Friday, h...",0
203,"Shocking New Mock Hillary Ad Campaign Warns Shell Take Us to War: #EnlistforHer, #FightforHer, #DieforHer",The Daily Sheeple,"
A lot of people, especially millennials, are concerned at Hillarys war rhetoric, and especially the stuff she made up about tying Wikileaks to Russia at the last debate.
Now an ominous new mock ad campaign about registering for the draft for Hillary on Twitter complete with hashtags, #ImWithHer, #EnlistforHer, #FightforHer, and #DieforHer is making the rounds, reminding us all how close America currently is to World War III and which candidate would definitely without a doubt be all about going to war against Russia.
At first glance, it is scary how real these look.
#Enlistforher #FightForHer #ImWithHer #KillForHer #DieForHer #BeEvisceratedForHer #NuclearWarForHer pic.twitter.com/SyJhs92hij 
 Rich Corey (@RichCore9007) October 27, 2016 

Pre-register for the draft today, nuclear war is coming #ImWithHer #FightForHer #EnlistForHer pic.twitter.com/iPi6IjUU9d 
 MicroSpookyLeaks (@WDFx2EU7) October 27", 2016 
204,The Failure of US Democracy,nan,"The Failure of US Democracy How The Oligarchs Plan To Steal The Election I am now convinced that the Oligarchy that rules America intends to steal the presidential election. In the past, the oligarchs have not cared which candidate won as the oligarchs owned both. But they do not own Trump. Most likely you are unaware of what Trump is telling people as the media does not report it. A person who speaks like this: - is not endeared to the oligarchs. Who are the oligarchs?  Wall Street and the mega-banks too big to fail and their agent the Federal Reserve, a federal agency that put 5 banks ahead of millions of troubled American homeowners who the federal reserve allowed to be flushed down the toilet. In order to save the mega-banks balance sheets from their irresponsible behavior, the Fed has denied retirees any interest income on their savings for eight years, forcing the elderly to draw down their savings, leaving their heirs, who have been displaced from employment by corporate jobs offshoring, penniless...",1
205,EXCLUSIVE -- Family of Slain Border Patrol Agent Brian Terry Says Eric Holder Among The Real Criminals Responsible,Bob Price,"The 2010 murder of U. S. Border Patrol Agent Brian Terry by a   previously deported illegal alien could have been prevented, says the agents brother Kent Terry in an exclusive interview with Breitbart Texas. Terrys family hopes the Trump Administration will now go after the real criminals responsible for putting the Fast and Furious guns in the accused killers hands. [A task force including Mexican law enforcement officials, U. S. Drug Enforcement Administration agents and U. S. Border Patrol Border Patrol BORTAC (Border Patrol Tactical Unit) agents arrested accused killer Heraclio   in Mexico earlier this week, Breitbart Texas reported. Court records obtained by Breitbart Texas stated immigration officials deported   seven times before he returned illegally on December 14, 2010, as part of a Mexican bandit rip crew.  The accused killer of Agent Terry opened fire on the BORSTAR team in southern Arizona that had been dispatched to find the rip crew which had been robbing other drug and human smug...",0
206,Trump Tells Reporters: Walls Work - Just Ask Israel - Breitbart,Adam Shaw,"President Trump stood by his campaign promise to build a wall along the southern border Thursday, telling reporters: Walls work     just ask Israel. [Trump made the remarks at a White House press conference with Colombian President Juan Manuel Santos. Santos was asked about comments Trump made in his remarks when he cited his proposed border wall as an important tool to stop drugs from coming into America.  Santos avoided discussing the wall directly and instead pointed to areas where the U. S. and Colombia were working together. I believe the best way to fight drug trafficking is by collaborating, Santos said. It is a world problem and we have to all work together. We declared the war on drugs 40 years ago  &     and its a war that has not been won, so we must be more effective and more efficient.  He pointed to a number of areas the U. S. and Colombia are working together to fight the international drug trade and said that they had agreed to double down on that commitment in the meeting at the Wh...",0
207,Will America Survive the Next 4 Years?,Tim King,"9 Shares
7 0 0 2
Citizens of the United States have chosen the wealthy businessman, Donald Trump, as their new President. Trump, who was considered a wild card candidate, will take control of the country in January to fill his four year term. Violent protests are raging and attacks against those who oppose Trump or fail to fit his criteria of acceptability are on the rise. Trump supporters have also been attacked. To say the very least, this is the dawning of a new age in America. To put it mildly, Trump alienated huge swaths of humanity during his campaign. Women, Mexicans, Muslims, Blacks, the media& have all taken their turns at his whipping pole. Trumps harsh words have been used to condemn huge groups. The only people Trump hasnt attacked are White American males.
The only people Trump hasnt attacked are White American males.
Interestingly, Trump shares many traits with the man who brought Germany to its knees during WWII, Adolph Hitler. Hitler rallied Germans by directing national anger toward two...",1
208,Commissioner Starts to Press Cleveland Indians About Logo - The New York Times,David Waldstein,"CLEVELAND     The Cleveland Indians returned home to Progressive Field on Tuesday for the first time since an agonizing Game 7 defeat to the Chicago Cubs in the World Series. They raised the 2016 American League pennant and handed out rings before the focus turned back to the current season. It is a season in which the Indians may again be one of the top teams in baseball, but it is also one in which they may have to wrestle increasingly with the issue of Chief Wahoo, the smiling caricature that has long been an Indians logo but has come to be seen as offensive and wildly outdated. Among those who think it is time for the club to decisively move away from the logo is the Major League Baseball commissioner, Rob Manfred, who in continuing discussions with the teams ownership is beginning to apply a little bit of pressure on the club to come up with a plan of action. In a statement to The New York Times, Pat Courtney, a spokesman for Major League Baseball, said Manfred, in his talks with the Indians owners...",0
209,Re: Babylon Mystery Religion Series,nan,"« Reply #1 on: Today at 08:44:21 PM » Part 2 Mother & Child Worship https://www.youtube.com/watch?v=TWtZPg2RP-M Logged The answer to 1871 is 1776I am one of the people, not a fictional entity created by an incorporated state issued Birth Certificate.",1
210,"The UN Plans To Implant Everyone With A Biometric ID, This Is Not A Drill",Starkman,"It sounds like something out of a Philip K. Dick novel, replicants and all. The United Nations is planning to have all humans imprinted with biometric identification cards . 
Via AlternativeNews 

If youre not sure what this means for you, it would basically be sci-fi meets 1984. The world government would know where you go, what you do, who youre with, and who you are at all times, anywhere, every day and every night. It means more restrictions and less freedom. The United Nations wants everyone to have a biometric identification tag by 2030, which is part of their Global Goals agenda .
The United Nations is already working hard toward the implementation of this goal  particularly among refugee populations. The UN has partnered with Accenture to implement a biometric identification system that reports information back to a central database in Geneva.
&
And these new biometric identification cards will not just be for refugees. According to a different FindBiometrics report, authorities hope this tech...",1
211,Trump Attacks Senators Credibility Over Gorsuchs Comments - The New York Times,"Jonathan Weisman, Eric Lichtblau and Charlie Savage","  President Trump met with airline industry executives and complained that we spent six trillion dollars in the Middle East, we got nothing.    Representative Tom Price could finally get a vote as soon as Friday to be confirmed as secretary of health and human services.   Senator Chuck Schumer of New York, the Democratic leader, and Senator Patty Murray of Washington, the ranking Democrat on the labor committee, are going after Andrew Puzder, Mr. Trumps embattled nominee for labor secretary. It was a bit of a    moment when Senator Richard Blumenthal, Democrat of Connecticut, told reporters that President Trumps nominee for the Supreme Court, Judge Neil M. Gorsuch, had called Mr. Trumps attacks on the judiciary demoralizing and disheartening.  The account was readily confirmed on the record by a White House adviser, Ron Bonjean, working to advance the Gorsuch confirmation. But that wasnt enough to stop the president from going after Mr. Bluementhal where it hurt: The president was referring to 20...",0
212,Clinton Advisor LOSES IT In Leaked Email Over Hillarys Illegal Activity,Dawn Parabellum,"Clinton Advisor LOSES IT In Leaked Email Over Hillarys Illegal Activity Posted on October 28, 2016 by Dawn Parabellum in Politics Share This 
Nothing is more satisfying than Democrats turning on each other, and thats exactly what has happened in the Hillary Clinton camp. As if we havent heard enough of Hillarys incompetence and corruption, a newly leaked email shows a top Clinton advisor absolutely losing it over Hillarys illegal activity, and her shocking admissions dont paint a pretty picture for the Democrat Party. 
Thieves and liars are commonplace, but when a person is running for President of the United States, perhaps they should conduct themselves in a manner that commands respect. Hillary Clinton has never been trustworthy in the eyes of rational Americans, and even her advisors picked up on the trouble shes gotten herself in. The leaked emails are telling and have shown the Clinton campaign as struggling with damn near every aspect of her run for president because Americans are fed up with...",1
213,Art Laffer: Paul Ryans Just About Perfect Right Now - Breitbart,Trent Baker,"Former President Ronald Reagan economic adviser Arthur Laffer weighed in on the Obamacare repeals passage Sunday on New York AM 970 radios The Cats Roundtable.   Laffer praised House Speaker Paul Ryans maturation, saying he is working with President Donald Trump beautifully.  What youre seeing happening is the very quick evolution of an administration, Laffer told host John Catsimatidis. What happened with Paul Ryan in getting that health care bill passed, shows you exactly how Paul Ryan has matured immensely as Speaker of the House and is working with Trump beautifully, he continued. Paul Ryan is just about perfect right now.  Follow Trent Baker on Twitter @MagnifiTrent",0
214,How Donald Trump Will Be Blamed For Economic Crash,IWB,"How Donald Trump Will Be Blamed For Economic Crash by IWB · October 26, 2016 Tweet 
The elite will pin the coming economic crash on Donald Trump. This amazing video lays it all out. Its 15 minutes long. Please watch. VERY IMPORTANT! 
At one level, many globalists actually want Donald Trump to be elected President so they can BLAME HIM for the economic collapse theyve barely held back for eight years. 
This mini documentary reveals the hidden agenda to crash the global debt pyramid if Trump wins the White House. After all, the political elite can never blame themselves for all the problems theyve created. 
So theyll use a Trump victory to turn him into a scapegoat for the massive, catastrophic collapse thats imminent.",1
215,New World Order Pushes Back on Brexit Revolution,nan,"New World Order Pushes Back on Brexit Revolution November 03, 2016 New World Order Pushes Back on Brexit Revolution 
(LONDON) - England's High Court ruled on Thursday that the British government requires parliamentary approval to trigger the process of exiting the European Union, upsetting Prime Minister Theresa May's Brexit plans. The government said it would appeal against the decision and a spokeswoman for May said the prime minister would press ahead with the planned timetable of launching talks on the terms of Brexit by the end of March. The pound rose on the court's ruling, hitting a three-week high against the dollar. Many investors took the view that lawmakers would temper the government's policies and make an economically disruptive ""hard Brexit"" less likely. ""The most fundamental rule of the UK's constitution is that parliament is sovereign and can make and unmake any law it chooses,"" said Lord Chief Justice John Thomas, England's most senior judge. Thomas and two other senior judges did not spel...",1
216,Pokemon Go players are inadvertently stopping people committing suicide in Japan,Sausage Machine,"  Pokemon Go players are inadvertently stopping people committing suicide in Japan 
@Tkbeynon over on Twitter writes, Pokemon Go players inadvertently stopping people committing suicide is definitely my favourite story of the day",1
217,California Senate Race Is a Tale of Diversity and a Flailing G.O.P. - The New York Times,Jennifer Medina,"LOS ANGELES     Kamala Harris made history when she became the first black woman to be elected attorney general in California. Now she is vying for the United States Senate, and she has managed to stay the   in the race ever since she announced last year, just days after Senator Barbara Boxer, a fellow Democrat, said she would leave the seat she won in 1992. With the help of allies, Ms. Harris nudged aside other prominent Democratic contenders, including Antonio Villaraigosa, the former mayor of Los Angeles, and United States Representative Xavier Becerra. But as Tuesdays open primary for the seat approaches, Ms. Harriss chief rival is from her own party     Loretta Sanchez, a congresswoman from Southern California. And their competition says as much about California as it does about the candidates. In a state with one of the most diverse electorates in the nation, where Latinos are the largest ethnic group, a victory by either woman would be a milestone: Ms. Harris would be the first black woman in th...",0
218,Exclusive: Source Says Megyn Kelly Would Not Be Welcomed Back at Fox News,Tony Lee,"Controversy usually creates cash and big ratings   except if you are NBC News Megyn Kelly. [After Kellys controversial and   interview with Alex Jones tanked by again failing to beat out reruns of 60 Minutes and Americas Funniest Home Videos, New York radio host Mark Simone tweeted on Monday that NBC is trying to unload Kelly and convince Fox News to take her back.  But a   Fox News source told Breitbart News that there is no way Kelly could come back to the network. Quite simply, the source told Breitbart News, Kelly would not be welcomed back.  Inside scoop:  NBC now trying to get rid of Megyn Kelly. Even trying to get FOX to buy out her contract and take her back.     MARK SIMONE (@MarkSimoneNY) June 19, 2017,  Simone also suggested that if Kelly becomes more toxic and her ratings tank even more, NBC will have to take her off the network, and if they are stuck with her, theyll give her an MSNBC show.  NBC will have to take her off the network     if they are stuck with her, theyll give h...",0
219,"In Break With Precedent, Obama Envoys Are Denied Extensions Past Inauguration Day - The New York Times",Julie Hirschfeld Davis,"WASHINGTON       Donald J. Trumps transition staff has issued a blanket edict requiring politically appointed ambassadors to leave their overseas posts by Inauguration Day, according to several American diplomats familiar with the plan, breaking with decades of precedent by declining to provide even the briefest of grace periods. The mandate     issued without exceptions, according to a terse State Department cable sent on Dec. 23, diplomats who saw it said     threatens to leave the United States without   envoys for months in critical nations like Germany, Canada and Britain. In the past, administrations of both parties have often granted extensions on a    basis to allow a handful of ambassadors, particularly those with   children, to remain in place for weeks or months. Mr. Trump, by contrast, has taken a hard line against leaving any of President Obamas political appointees in place as he prepares to take office on Jan. 20 with a mission of dismantling many of his predecessors signature foreig...",0
220,How Will Brexit Vote Go? Monty Python May Offer Clue - The New York Times,Sarah Lyall,"LIVERPOOL, England     Jackie ONeill, a    administrative assistant, was explaining the other day why Britain should vote to divorce itself from the European Union in this months referendum. As she enumerated her many grievances, I couldnt help thinking of the scene in Monty Pythons Life of Brian in which a bunch of disaffected Judeans sit around, complaining about the Romans. Theyve bled us white, the bastards, says their leader, Reg, played by John Cleese. And what have they ever given us in return? His colleagues mention a few things, by way of example. O. K. Reg says. But apart from the sanitation, the medicine, education, wine, public order, irrigation, roads, the freshwater system and public health, what have the Romans ever done for us? Even Britains most enthusiastic European Union supporters would not argue that Europe has been quite so helpful to their country, of course. But as chance would have it, Ms. ONeill was heaping her abuse on Europe in a spot that has been a particularly...",0
221,Blind Mystic Who Predicted 9/11 Has Bad News About Trump,Starkman,"Remember the blind Bulgarian mystic who predicted 9/11 and the rise of ISIS? Well, shes got some bad news for, dare I say it, Commander in Chief Donald Trump. 
Via UsualRoutine 

Baba Vanga, whos known to her followers as the Nostradamus of the Balkans, has claimed Obama is the last President of the United States of America. Vanga allegedly called the election of Barack Obama as well, predicting the 44th president of the United States would be an African American  also making the chilling claim that he would be the last U.S. president.
Usually, Id be happy to dismiss the reaction to Vangas prophetic prediction as the public clinging onto a ray of hope in todays new political climate, but actually, the blind mystic has a pretty great track record with her visions. The prophetess, who died aged 85 in 1996, is alleged to have made hundreds of predictions about the future with an 85 per cent accuracy rate, from her home in Petrich, Bulgaria.

These prediction include climate change and the melting of...",1
